Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,6.000000,5.820000,6.000000,5.750000,20353
2016-01-08T00:00:00Z,404,5.850000,5.800000,5.850000,5.710000,34571
2016-01-11T00:00:00Z,407,5.830000,5.800000,6.000000,5.720000,17274
2016-01-12T00:00:00Z,408,5.770000,6.000000,6.000000,5.770000,25564
2016-01-13T00:00:00Z,409,6.000000,5.780000,6.000000,5.680000,27378
2016-01-14T00:00:00Z,410,5.740000,5.700000,5.890000,5.610000,11101
2016-01-15T00:00:00Z,411,5.590000,5.530000,5.830000,5.500100,27649
2016-01-19T00:00:00Z,415,5.550000,5.480000,5.620000,5.460000,24040
2016-01-20T00:00:00Z,416,5.350000,5.210000,5.350000,5.110000,71171
2016-01-21T00:00:00Z,417,5.200000,4.970000,5.200000,4.930000,50421
2016-01-22T00:00:00Z,418,4.970000,5.170000,5.185000,4.970000,47690
2016-01-25T00:00:00Z,421,5.180000,4.700000,5.180000,4.690000,100664
2016-01-26T00:00:00Z,422,4.790000,4.690000,5.020000,4.460000,44567
2016-01-27T00:00:00Z,423,4.700000,4.470000,4.780000,4.420000,84868
2016-01-28T00:00:00Z,424,4.480000,4.340000,4.560000,4.290000,92220
2016-01-29T00:00:00Z,425,4.380000,4.360000,4.570000,4.240000,258714
2016-02-01T00:00:00Z,428,4.340000,4.410000,4.515000,4.230000,438674
2016-02-02T00:00:00Z,429,4.370000,4.770000,4.960000,4.370000,196676
2016-02-03T00:00:00Z,430,4.910000,4.640000,4.929800,4.480000,282041
2016-02-04T00:00:00Z,431,4.650000,4.720000,5.010000,4.550000,31126
2016-02-05T00:00:00Z,432,4.740000,4.740000,4.840000,4.700000,12117
2016-02-08T00:00:00Z,435,4.760000,4.520000,4.760000,4.500000,31047
2016-02-09T00:00:00Z,436,4.480000,4.490000,4.597000,3.805000,60940
2016-02-10T00:00:00Z,437,4.510000,3.710000,4.570000,3.460000,173763
2016-02-11T00:00:00Z,438,3.910000,3.770000,3.910000,3.480000,93149
2016-02-12T00:00:00Z,439,3.800000,3.580000,3.930000,3.480000,45523
2016-02-16T00:00:00Z,443,3.740000,3.860000,3.880000,3.540000,116957
2016-02-17T00:00:00Z,444,3.890000,3.940000,4.150000,3.860000,17373
2016-02-18T00:00:00Z,445,3.997000,3.870000,4.040000,3.830000,11830
2016-02-19T00:00:00Z,446,3.850000,3.780000,3.900000,3.730000,8895
2016-02-22T00:00:00Z,449,3.800000,3.960000,4.030000,3.800000,11068
2016-02-23T00:00:00Z,450,3.980000,3.780000,4.070000,3.770000,9409
2016-02-24T00:00:00Z,451,3.780000,3.550000,3.780000,3.550000,23703
2016-02-25T00:00:00Z,452,3.590000,3.680000,3.680000,3.560000,13023
2016-02-26T00:00:00Z,453,4.200000,3.900000,6.580000,3.810000,427756
2016-02-29T00:00:00Z,456,3.920000,3.650000,4.198000,3.377000,178496
2016-03-01T00:00:00Z,459,3.650000,3.990000,4.010000,3.650000,63162
2016-03-02T00:00:00Z,460,3.950000,4.000000,4.040000,3.840000,45473
2016-03-03T00:00:00Z,461,3.900000,3.690000,4.040000,3.650000,23423
2016-03-04T00:00:00Z,462,3.690000,3.970000,4.030000,3.670000,30241
2016-03-07T00:00:00Z,465,3.930000,4.000000,4.030000,3.920000,28566
