Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,6.210000,6.150000,6.299900,5.970000,1280659
2016-01-08T00:00:00Z,404,6.130000,6.240000,6.270000,6.120000,527274
2016-01-11T00:00:00Z,407,6.300000,6.320000,6.360000,6.170100,568659
2016-01-12T00:00:00Z,408,6.390000,6.200000,6.490000,6.150000,430681
2016-01-13T00:00:00Z,409,6.210000,6.000000,6.290000,5.800000,483216
2016-01-14T00:00:00Z,410,6.060000,6.080000,6.229900,5.940000,503260
2016-01-15T00:00:00Z,411,5.890000,6.010000,6.040000,5.815000,798466
2016-01-19T00:00:00Z,415,6.110000,5.820000,6.110000,5.730000,556490
2016-01-20T00:00:00Z,416,5.700000,5.830000,5.900000,5.570000,543234
2016-01-21T00:00:00Z,417,5.890000,5.820000,5.955000,5.710000,487536
2016-01-22T00:00:00Z,418,5.930000,5.900000,5.970000,5.770000,312999
2016-01-25T00:00:00Z,421,5.920000,5.550000,5.920000,5.520000,628685
2016-01-26T00:00:00Z,422,5.580000,5.720000,5.830000,5.575600,621195
2016-01-27T00:00:00Z,423,5.700000,5.660000,5.760000,5.460000,467007
2016-01-28T00:00:00Z,424,5.710000,5.720000,5.840000,5.665000,352703
2016-01-29T00:00:00Z,425,5.720000,5.800000,5.850000,5.680000,349736
2016-02-01T00:00:00Z,428,5.740000,5.770000,5.830000,5.620000,308196
2016-02-02T00:00:00Z,429,5.680000,5.640000,5.740000,5.600000,595771
2016-02-03T00:00:00Z,430,5.710000,5.620000,5.750000,5.502500,394491
2016-02-04T00:00:00Z,431,5.550000,5.610000,5.740000,5.540000,223711
2016-02-05T00:00:00Z,432,5.580000,5.290000,5.580000,5.280000,465296
2016-02-08T00:00:00Z,435,5.220000,5.110000,5.220000,4.930000,361645
2016-02-09T00:00:00Z,436,5.040000,4.990000,5.208000,4.970000,434896
2016-02-10T00:00:00Z,437,5.030000,4.920000,5.090000,4.890000,457858
2016-02-11T00:00:00Z,438,4.810000,4.770000,4.940000,4.750000,472372
2016-02-12T00:00:00Z,439,4.820000,4.860000,4.950000,4.780000,433469
2016-02-16T00:00:00Z,443,4.920000,5.040000,5.090000,4.795000,505070
2016-02-17T00:00:00Z,444,5.090000,5.030000,5.140000,4.980000,600601
2016-02-18T00:00:00Z,445,5.040000,5.150000,5.160000,4.990000,519426
2016-02-19T00:00:00Z,446,5.140000,5.200000,5.220000,5.100000,555813
2016-02-22T00:00:00Z,449,5.240000,5.340000,5.430000,5.210000,1066992
2016-02-23T00:00:00Z,450,3.780000,3.470000,3.780000,3.150000,10343496
2016-02-24T00:00:00Z,451,3.940000,4.120000,4.150000,3.810000,4805194
2016-02-25T00:00:00Z,452,4.120000,4.040000,4.180000,4.000000,1152704
2016-02-26T00:00:00Z,453,4.140000,4.240000,4.350000,4.130000,1500690
2016-02-29T00:00:00Z,456,4.260000,4.290000,4.380000,4.250000,847055
2016-03-01T00:00:00Z,459,4.340000,4.500000,4.560000,4.290000,727801
2016-03-02T00:00:00Z,460,4.510000,4.460000,4.600000,4.420000,740263
2016-03-03T00:00:00Z,461,4.480000,4.470000,4.510000,4.350000,866273
2016-03-04T00:00:00Z,462,4.485000,4.400000,4.510000,4.390000,678712
2016-03-07T00:00:00Z,465,4.400000,4.470000,4.540000,4.380000,513802
2016-03-08T00:00:00Z,466,4.420000,4.330000,4.500000,4.300000,495558
2016-03-09T00:00:00Z,467,4.330000,4.470000,4.495000,4.300000,407598
2016-03-10T00:00:00Z,468,4.500000,4.410000,4.500000,4.410000,448936
2016-03-11T00:00:00Z,469,4.460000,4.500000,4.540000,4.360000,378972
2016-03-14T00:00:00Z,472,4.500000,4.380000,4.520000,4.360000,342059
2016-03-15T00:00:00Z,473,4.340000,4.310000,4.430000,4.210000,355720
2016-03-16T00:00:00Z,474,4.280000,4.370000,4.370000,4.270000,245066
2016-03-17T00:00:00Z,475,4.330000,4.400000,4.450000,4.290000,316540
2016-03-18T00:00:00Z,476,4.440000,4.550000,4.580000,4.440000,663084
2016-03-21T00:00:00Z,479,4.550000,4.500000,4.580000,4.390000,441448
2016-03-22T00:00:00Z,480,4.480000,4.360000,4.550000,4.340000,264248
2016-03-23T00:00:00Z,481,4.350000,4.320000,4.400000,4.285000,496088
2016-03-24T00:00:00Z,482,4.320000,4.120000,4.320000,4.030000,853391
2016-03-28T00:00:00Z,486,4.180000,4.330000,4.360000,4.100000,386988
2016-03-29T00:00:00Z,487,4.300000,4.420000,4.430000,4.180000,465178
2016-03-30T00:00:00Z,488,4.430000,4.480000,4.510000,4.350000,509031
2016-03-31T00:00:00Z,489,4.470000,4.460000,4.510000,4.380000,406399
2016-04-01T00:00:00Z,490,4.380000,4.290000,4.400000,4.260000,552748
2016-04-04T00:00:00Z,493,4.310000,4.400000,4.480000,4.310000,558548
2016-04-05T00:00:00Z,494,4.350000,4.370000,4.380000,4.320000,344171
2016-04-06T00:00:00Z,495,4.350000,4.470000,4.500000,4.325000,228526
2016-04-07T00:00:00Z,496,4.420000,4.350000,4.480000,4.350000,284682
2016-04-08T00:00:00Z,497,4.380000,4.310000,4.434000,4.260000,365843
2016-04-11T00:00:00Z,500,4.350000,4.360000,4.470000,4.300000,293815
2016-04-12T00:00:00Z,501,4.350000,4.410000,4.490000,4.330000,318867
2016-04-13T00:00:00Z,502,4.420000,4.440000,4.570000,4.390000,516264
2016-04-14T00:00:00Z,503,4.490000,4.420000,4.490000,4.380000,372358
2016-04-15T00:00:00Z,504,4.390000,4.440000,4.560000,4.390000,385923
2016-04-18T00:00:00Z,507,4.440000,4.510000,4.570000,4.440000,264921
2016-04-19T00:00:00Z,508,4.500000,4.500000,4.540000,4.460000,277194
2016-04-20T00:00:00Z,509,4.500000,4.440000,4.500000,4.390000,335967
2016-04-21T00:00:00Z,510,4.460000,4.540000,4.590000,4.460000,471450
2016-04-22T00:00:00Z,511,4.520000,4.660000,4.660000,4.520000,321372
2016-04-25T00:00:00Z,514,4.660000,4.590000,4.740000,4.550000,251692
2016-04-26T00:00:00Z,515,4.600000,4.670000,4.700000,4.570000,242534
2016-04-27T00:00:00Z,516,4.660000,4.670000,4.730000,4.650000,278242
2016-04-28T00:00:00Z,517,4.680000,4.610000,4.755000,4.600000,358393
2016-04-29T00:00:00Z,518,4.620000,4.540000,4.640000,4.510000,391143
2016-05-02T00:00:00Z,522,4.590000,4.640000,4.712200,4.550000,731689
2016-05-03T00:00:00Z,523,4.800000,4.540000,4.896600,4.500000,952266
2016-05-04T00:00:00Z,524,4.490000,4.340000,4.490000,4.270000,771091
2016-05-05T00:00:00Z,525,4.380000,4.270000,4.400000,4.260000,291179
2016-05-06T00:00:00Z,526,4.290000,4.360000,4.400000,4.260000,749139
2016-05-09T00:00:00Z,529,4.390000,4.380000,4.440000,4.330000,429499
2016-05-10T00:00:00Z,530,4.420000,4.490000,4.490000,4.380000,586444
2016-05-11T00:00:00Z,531,4.460000,4.500000,4.630000,4.460000,678579
2016-05-12T00:00:00Z,532,4.529500,4.420000,4.529500,4.370000,481388
2016-05-13T00:00:00Z,533,4.400000,4.420000,4.470000,4.300000,344531
2016-05-16T00:00:00Z,536,4.400000,4.440000,4.480000,4.400000,311297
2016-05-17T00:00:00Z,537,4.400000,4.370000,4.480000,4.310000,308871
2016-05-18T00:00:00Z,538,4.390000,4.520000,4.580000,4.330000,1010903
2016-05-19T00:00:00Z,539,4.520000,4.370000,4.550000,4.340000,546173
2016-05-20T00:00:00Z,540,4.400000,4.540000,4.570000,4.400000,404802
2016-05-23T00:00:00Z,543,4.560000,4.620000,4.660000,4.535000,378063
2016-05-24T00:00:00Z,544,4.680000,4.790000,4.800000,4.680000,481761
2016-05-25T00:00:00Z,545,4.790000,4.740000,4.800000,4.620000,511870
2016-05-26T00:00:00Z,546,4.750000,4.730000,4.750000,4.700000,173164
2016-05-27T00:00:00Z,547,4.720000,4.830000,4.850000,4.690000,440813
2016-05-31T00:00:00Z,551,4.860000,4.880000,4.980000,4.850000,408194
2016-06-01T00:00:00Z,552,4.880000,4.990000,5.000000,4.815000,386879
2016-06-02T00:00:00Z,553,4.900000,5.000000,5.010000,4.890000,359971
2016-06-03T00:00:00Z,554,5.000000,4.930000,5.000000,4.870000,324922
2016-06-06T00:00:00Z,557,4.920000,4.960000,5.020000,4.870000,380537
2016-06-07T00:00:00Z,558,4.950000,5.020000,5.080000,4.920000,600074
2016-06-08T00:00:00Z,559,5.010000,4.940000,5.010000,4.930000,342180
2016-06-09T00:00:00Z,560,4.900000,4.900000,5.000000,4.860000,397260
2016-06-10T00:00:00Z,561,4.870000,4.870000,4.950000,4.790000,342395
2016-06-13T00:00:00Z,564,4.800000,4.860000,4.950000,4.670000,363408
2016-06-14T00:00:00Z,565,4.840000,4.810000,4.920000,4.790000,262320
2016-06-15T00:00:00Z,566,4.820000,4.850000,4.885000,4.790000,170978
2016-06-16T00:00:00Z,567,4.790000,4.860000,4.880000,4.730000,262438
2016-06-17T00:00:00Z,568,4.850000,4.840000,4.970000,4.840000,483579
2016-06-20T00:00:00Z,571,4.890000,5.080000,5.130000,4.890000,474444
2016-06-21T00:00:00Z,572,5.090000,4.970000,5.100000,4.890000,205581
2016-06-22T00:00:00Z,573,4.950000,4.970000,5.030000,4.925000,246129
2016-06-23T00:00:00Z,574,5.040000,5.050000,5.080000,4.970000,268638
2016-06-24T00:00:00Z,575,4.900000,4.850000,4.950000,4.840000,833967
