Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,9.320000,9.290000,9.470000,9.270000,3288448
2016-01-08T00:00:00Z,404,9.330000,9.080000,9.380000,9.070000,2666506
2016-01-11T00:00:00Z,407,9.000000,9.080000,9.200000,8.910000,2226344
2016-01-12T00:00:00Z,408,9.160000,9.000000,9.240000,8.890000,3867854
2016-01-13T00:00:00Z,409,8.910000,8.220000,8.930000,8.205000,2967422
2016-01-14T00:00:00Z,410,8.270000,8.330000,8.420000,7.990000,3336748
2016-01-15T00:00:00Z,411,8.050000,7.960000,8.125000,7.790000,2610072
2016-01-19T00:00:00Z,415,8.020000,7.770000,8.030000,7.710000,2483375
2016-01-20T00:00:00Z,416,7.610000,7.880000,7.940000,7.280000,4981577
2016-01-21T00:00:00Z,417,7.840000,8.060000,8.360000,7.820000,2732976
2016-01-22T00:00:00Z,418,8.220000,8.150000,8.360000,7.980000,3285240
2016-01-25T00:00:00Z,421,8.120000,7.870000,8.170000,7.865000,2798073
2016-01-26T00:00:00Z,422,7.950000,8.330000,8.450000,7.950000,5993752
2016-01-27T00:00:00Z,423,8.320000,8.160000,8.380000,8.079900,7276213
2016-01-28T00:00:00Z,424,8.200000,8.140000,8.340000,8.130000,3192968
2016-01-29T00:00:00Z,425,8.300000,8.300000,8.370000,8.185000,5226522
2016-02-01T00:00:00Z,428,8.210000,8.140000,8.305000,8.140000,3450617
2016-02-02T00:00:00Z,429,8.090000,7.950000,8.100000,7.790000,2764355
2016-02-03T00:00:00Z,430,8.020000,8.040000,8.110000,7.750000,2684432
2016-02-04T00:00:00Z,431,8.000000,8.290000,8.430000,7.990000,2819353
2016-02-05T00:00:00Z,432,8.250000,8.230000,8.430000,8.190000,2669925
2016-02-08T00:00:00Z,435,8.160000,8.150000,8.200000,7.970000,2511222
2016-02-09T00:00:00Z,436,8.040000,7.970000,8.230000,7.940000,3307684
2016-02-10T00:00:00Z,437,8.040000,8.080000,8.240000,7.970000,2409308
2016-02-11T00:00:00Z,438,7.950000,7.850000,8.017700,7.770000,2700422
2016-02-12T00:00:00Z,439,7.920000,8.180000,8.210000,7.900000,3523661
2016-02-16T00:00:00Z,443,8.250000,8.370000,8.420000,8.210000,2921054
2016-02-17T00:00:00Z,444,8.300000,8.530000,8.880000,8.300000,4544769
2016-02-18T00:00:00Z,445,8.570000,8.730000,8.770000,8.439900,3623979
2016-02-19T00:00:00Z,446,8.700000,8.520000,8.710000,8.460000,2811159
2016-02-22T00:00:00Z,449,8.650000,8.640000,8.770000,8.600000,3068817
2016-02-23T00:00:00Z,450,8.730000,8.510000,8.890000,8.430000,3588280
2016-02-24T00:00:00Z,451,8.400000,8.730000,8.730000,8.220000,2640993
2016-02-25T00:00:00Z,452,8.760000,8.900000,8.930000,8.580000,1521271
2016-02-26T00:00:00Z,453,8.930000,8.910000,9.040000,8.870000,2468205
2016-02-29T00:00:00Z,456,8.900000,8.900000,9.030000,8.870000,2925529
2016-03-01T00:00:00Z,459,8.950100,9.270000,9.300000,8.940000,2138035
