Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,4.620000,4.560000,4.660000,4.560000,29389
2016-01-08T00:00:00Z,404,4.560000,4.500000,4.610000,4.490000,26658
2016-01-11T00:00:00Z,407,4.510000,4.470000,4.520100,4.420000,27035
2016-01-12T00:00:00Z,408,4.530000,4.479900,4.530000,4.390000,36577
2016-01-13T00:00:00Z,409,4.500000,4.350000,4.500000,4.350000,22267
2016-01-14T00:00:00Z,410,4.351100,4.330000,4.410000,4.300000,44046
2016-01-15T00:00:00Z,411,4.220000,4.183600,4.220000,3.960000,47074
2016-01-19T00:00:00Z,415,4.250000,4.126900,4.270000,4.122900,37474
2016-01-20T00:00:00Z,416,4.090000,4.039000,4.090000,3.930000,33385
2016-01-21T00:00:00Z,417,4.070000,4.060000,4.160000,4.020100,23798
2016-01-22T00:00:00Z,418,4.139900,4.220000,4.244700,4.139900,35495
2016-01-25T00:00:00Z,421,4.190000,4.150000,4.199900,4.150000,10578
2016-01-26T00:00:00Z,422,4.150000,4.190000,4.190000,4.110400,35259
2016-01-27T00:00:00Z,423,4.160000,4.120000,4.220000,4.120000,19172
2016-01-28T00:00:00Z,424,4.170000,4.160000,4.190000,4.110000,21914
2016-01-29T00:00:00Z,425,4.190000,4.250000,4.300000,4.181400,44036
2016-02-01T00:00:00Z,428,4.210000,4.260000,4.289900,4.210000,24451
2016-02-02T00:00:00Z,429,4.240000,4.180000,4.270000,4.170000,22979
2016-02-03T00:00:00Z,430,4.160000,4.198900,4.200100,4.120000,26029
2016-02-04T00:00:00Z,431,4.170000,4.215100,4.240000,4.170000,10333
2016-02-05T00:00:00Z,432,4.190000,4.120000,4.190000,4.110000,56617
2016-02-08T00:00:00Z,435,4.110000,4.040000,4.140000,3.950000,87368
2016-02-09T00:00:00Z,436,4.040000,4.050000,4.069800,3.990700,23609
2016-02-10T00:00:00Z,437,4.080000,4.050000,4.149900,4.030000,10508
2016-02-11T00:00:00Z,438,3.950000,3.980000,3.990000,3.910100,29796
2016-02-12T00:00:00Z,439,3.990000,4.040000,4.050000,3.970000,36077
2016-02-16T00:00:00Z,443,4.090000,4.130000,4.140100,4.080000,16170
2016-02-17T00:00:00Z,444,4.140000,4.200100,4.230000,4.140000,14836
2016-02-18T00:00:00Z,445,4.240000,4.200000,4.240000,4.180000,38249
2016-02-19T00:00:00Z,446,4.160000,4.218900,4.240000,4.150000,8789
2016-02-22T00:00:00Z,449,4.230000,4.241600,4.260000,4.200000,24993
2016-02-23T00:00:00Z,450,4.242200,4.200000,4.242200,4.200000,3275
2016-02-24T00:00:00Z,451,4.180000,4.230000,4.230000,4.140000,9319
2016-02-25T00:00:00Z,452,4.190000,4.270000,4.270000,4.190000,29966
2016-02-26T00:00:00Z,453,4.280000,4.280000,4.299900,4.280000,9619
2016-02-29T00:00:00Z,456,4.230000,4.280000,4.335700,4.230000,31469
2016-03-01T00:00:00Z,459,4.280000,4.300000,4.340000,4.280000,34763
