Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,2.704000,2.600000,2.712000,2.600000,3107
2016-01-08T00:00:00Z,404,2.675000,2.670000,2.750000,2.500000,32247
2016-01-11T00:00:00Z,407,2.704000,2.750000,2.800000,2.700000,15300
2016-01-12T00:00:00Z,408,2.850000,2.800000,2.850000,2.701500,5995
2016-01-13T00:00:00Z,409,2.700000,2.800000,2.800000,2.570000,26700
2016-01-14T00:00:00Z,410,2.800000,2.800000,2.800000,2.800000,200
2016-01-15T00:00:00Z,411,2.750000,2.740000,2.850000,2.700100,6375
2016-01-19T00:00:00Z,415,2.790000,2.710000,2.790000,2.680100,1315
2016-01-20T00:00:00Z,416,2.610000,2.750000,2.750000,2.610000,21136
2016-01-21T00:00:00Z,417,2.700000,2.700000,2.790000,2.700000,967
2016-01-22T00:00:00Z,418,2.800000,2.890000,2.990000,2.800000,3200
2016-01-25T00:00:00Z,421,2.878500,2.878500,2.878500,2.878500,0
2016-01-26T00:00:00Z,422,2.950000,3.050000,3.050000,2.950000,5636
2016-01-27T00:00:00Z,423,3.010000,3.304000,3.380000,2.874000,19990
2016-01-28T00:00:00Z,424,3.500000,3.600000,3.600000,3.500000,608
2016-01-29T00:00:00Z,425,3.590000,3.600000,3.600000,3.500000,11473
2016-02-01T00:00:00Z,428,3.500000,3.280000,3.539600,3.250000,12809
2016-02-02T00:00:00Z,429,3.340000,3.130000,3.340000,3.100000,2019
2016-02-03T00:00:00Z,430,3.117500,3.117500,3.117500,3.117500,0
2016-02-04T00:00:00Z,431,3.180000,3.181000,3.190000,3.180000,820
2016-02-05T00:00:00Z,432,3.250000,3.217600,3.300000,3.200000,4175
2016-02-08T00:00:00Z,435,3.204800,3.204800,3.204800,3.204800,0
2016-02-09T00:00:00Z,436,3.220000,3.220000,3.220000,3.220000,326
2016-02-10T00:00:00Z,437,3.220000,3.148500,3.220000,3.148500,1165
2016-02-11T00:00:00Z,438,3.080000,3.050000,3.100000,3.050000,3920
2016-02-12T00:00:00Z,439,3.010000,2.900000,3.010000,2.900000,4957
2016-02-16T00:00:00Z,443,2.880000,2.910000,3.000000,2.850000,1025
2016-02-17T00:00:00Z,444,2.949900,2.878000,2.949900,2.834000,467
2016-02-18T00:00:00Z,445,2.870000,2.890000,2.890000,2.867300,650
2016-02-19T00:00:00Z,446,2.890000,2.970000,3.020000,2.890000,1215
2016-02-22T00:00:00Z,449,3.050000,3.100000,3.100000,2.980000,16317
2016-02-23T00:00:00Z,450,3.020000,3.020000,3.020000,3.020000,191
2016-02-24T00:00:00Z,451,3.200000,3.200000,3.200000,3.200000,675
2016-02-25T00:00:00Z,452,3.187300,3.187300,3.187300,3.187300,59
2016-02-26T00:00:00Z,453,3.000000,2.900000,3.230000,2.900000,9049
2016-02-29T00:00:00Z,456,2.980000,3.048500,3.066400,2.980000,1447
2016-03-01T00:00:00Z,459,3.150000,3.110000,3.150000,3.000000,1407
2016-03-02T00:00:00Z,460,3.100000,3.100300,3.135200,3.100000,7866
2016-03-03T00:00:00Z,461,3.000000,3.000000,3.110000,3.000000,307
2016-03-04T00:00:00Z,462,3.020000,2.798500,3.020000,2.700000,25777
2016-03-07T00:00:00Z,465,2.749900,2.704000,2.789000,2.588000,20061
2016-03-08T00:00:00Z,466,2.700000,2.650000,2.700000,2.460000,21908
2016-03-09T00:00:00Z,467,2.600000,2.690000,2.690000,2.600000,1800
2016-03-10T00:00:00Z,468,2.600000,2.682000,2.699900,2.600000,5709
2016-03-11T00:00:00Z,469,2.700000,2.700000,2.700000,2.630000,24873
2016-03-14T00:00:00Z,472,2.800000,2.799900,2.889000,2.730000,1110
2016-03-15T00:00:00Z,473,2.800000,2.690000,2.810000,2.690000,616
2016-03-16T00:00:00Z,474,2.810000,2.900000,2.900000,2.747600,2975
2016-03-17T00:00:00Z,475,2.999000,3.000000,3.000000,2.990000,2378
2016-03-18T00:00:00Z,476,2.900000,2.700000,2.900000,2.680000,13510
2016-03-21T00:00:00Z,479,2.696900,2.749900,2.749900,2.696900,501
2016-03-22T00:00:00Z,480,2.620000,2.620000,2.620000,2.620000,428
2016-03-23T00:00:00Z,481,2.780000,2.783300,2.890000,2.649500,1054
2016-03-24T00:00:00Z,482,2.896000,2.890000,2.900000,2.890000,642
2016-03-28T00:00:00Z,486,2.810000,2.890000,2.890000,2.810000,282
2016-03-29T00:00:00Z,487,2.710000,2.745000,2.745800,2.700000,624
2016-03-30T00:00:00Z,488,2.940000,2.870000,2.940000,2.870000,639
2016-03-31T00:00:00Z,489,2.801500,2.930000,2.930000,2.801500,1918
2016-04-01T00:00:00Z,490,2.900000,2.900000,2.900000,2.900000,266
2016-04-04T00:00:00Z,493,2.850000,2.550000,2.850000,2.550000,6152
2016-04-05T00:00:00Z,494,2.650000,2.740000,2.740000,2.650000,596
2016-04-06T00:00:00Z,495,2.640000,2.680000,2.680000,2.630100,2224
2016-04-07T00:00:00Z,496,2.680000,2.680000,2.680000,2.680000,947
2016-04-08T00:00:00Z,497,2.710000,2.790000,2.840000,2.710000,5022
2016-04-11T00:00:00Z,500,2.880000,2.920000,2.920000,2.780000,11476
2016-04-12T00:00:00Z,501,2.808000,2.832000,2.832000,2.800000,1805
2016-04-13T00:00:00Z,502,2.800000,2.800000,2.800000,2.800000,213
