Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,10.830000,11.260000,11.660000,10.730000,6546403
2016-01-08T00:00:00Z,404,11.360000,11.340000,11.735000,11.055000,6938022
2016-01-11T00:00:00Z,407,11.330000,10.230000,11.370000,10.180000,10061259
2016-01-12T00:00:00Z,408,10.310000,9.900000,10.660000,9.790000,9426843
2016-01-13T00:00:00Z,409,10.100000,9.820000,10.270000,9.580000,8335260
2016-01-14T00:00:00Z,410,9.870000,10.480000,10.600000,9.640000,8482270
2016-01-15T00:00:00Z,411,10.150000,10.110000,10.240000,9.520000,6972941
2016-01-19T00:00:00Z,415,10.220000,10.030000,10.400000,9.860000,7006927
2016-01-20T00:00:00Z,416,9.680000,9.580000,9.790000,8.920000,9379488
2016-01-21T00:00:00Z,417,9.600000,9.890000,10.480000,9.570000,9008149
2016-01-22T00:00:00Z,418,10.070000,9.930000,10.240000,9.730000,8052839
2016-01-25T00:00:00Z,421,9.630000,8.980000,9.760000,8.930000,7453246
2016-01-26T00:00:00Z,422,9.180000,9.670000,9.730000,8.960000,5084221
2016-01-27T00:00:00Z,423,9.660000,9.890000,10.290000,9.460000,7390419
2016-01-28T00:00:00Z,424,9.820000,10.100000,10.150000,9.645000,6482804
2016-01-29T00:00:00Z,425,10.300000,10.640000,10.790000,10.300000,7807870
2016-02-01T00:00:00Z,428,10.690000,10.670000,10.760000,10.110000,6163029
2016-02-02T00:00:00Z,429,10.500000,10.710000,10.750000,10.200000,5154108
2016-02-03T00:00:00Z,430,10.840000,11.380000,11.680000,10.820000,8692500
2016-02-04T00:00:00Z,431,11.240000,11.680000,12.140000,11.190000,11622842
2016-02-05T00:00:00Z,432,11.600000,11.570000,11.810000,11.160000,11192480
2016-02-08T00:00:00Z,435,11.420000,11.140000,11.919900,10.950000,9316340
2016-02-09T00:00:00Z,436,10.850000,10.840000,11.010000,10.595000,5342924
2016-02-10T00:00:00Z,437,10.770000,10.700000,10.970000,10.170000,5083921
2016-02-11T00:00:00Z,438,10.440000,9.590000,10.570000,9.530000,5993087
2016-02-12T00:00:00Z,439,9.700000,9.580000,9.730000,9.030000,6319614
2016-02-16T00:00:00Z,443,9.570000,9.700000,9.800000,9.500000,4103212
2016-02-17T00:00:00Z,444,9.810000,10.200000,10.750000,9.780000,6842953
2016-02-18T00:00:00Z,445,10.200000,10.430000,10.530000,10.060000,7247195
2016-02-19T00:00:00Z,446,10.250000,10.010000,10.290000,9.760000,5761641
2016-02-22T00:00:00Z,449,10.120100,10.570000,10.580000,10.120000,6488701
2016-02-23T00:00:00Z,450,10.450000,10.320000,10.550000,10.140000,4410881
2016-02-24T00:00:00Z,451,10.180000,10.830000,10.950000,9.970000,6341469
2016-02-25T00:00:00Z,452,10.860000,10.900000,11.370000,10.660000,3836775
2016-02-26T00:00:00Z,453,10.965000,11.080000,11.320000,10.930000,5193408
2016-02-29T00:00:00Z,456,10.300000,10.780000,10.980000,10.111000,10349547
2016-03-01T00:00:00Z,459,10.870000,11.260000,11.275000,10.660000,6735603
2016-03-02T00:00:00Z,460,11.130000,12.160000,12.190000,11.050000,5908701
2016-03-03T00:00:00Z,461,12.070000,12.520000,12.770000,12.070000,7250596
2016-03-04T00:00:00Z,462,12.460000,13.070000,13.300000,12.440000,8034263
2016-03-07T00:00:00Z,465,13.030000,13.640000,14.160000,13.030000,9337754
2016-03-08T00:00:00Z,466,13.604000,12.510000,13.650000,12.450000,9361384
2016-03-09T00:00:00Z,467,12.570000,12.360000,12.835000,12.000000,15573499
2016-03-10T00:00:00Z,468,12.440000,12.890000,13.010000,12.250000,7738824
2016-03-11T00:00:00Z,469,13.120000,13.740000,13.870000,13.120000,8501924
2016-03-14T00:00:00Z,472,13.700000,13.670000,13.940000,13.510000,6334890
2016-03-15T00:00:00Z,473,13.515000,13.300000,13.572500,12.840000,5352160
