Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,7.480000,7.450000,7.490000,7.440000,72563
2016-01-08T00:00:00Z,404,7.450000,7.470000,7.470000,7.420000,121409
2016-01-11T00:00:00Z,407,7.460000,7.440000,7.515000,7.440000,115547
2016-01-12T00:00:00Z,408,7.440000,7.460000,7.480000,7.430000,91514
2016-01-13T00:00:00Z,409,7.460000,7.420000,7.470000,7.420000,85025
2016-01-14T00:00:00Z,410,7.430000,7.390000,7.433400,7.390000,141681
2016-01-15T00:00:00Z,411,7.380000,7.400000,7.440000,7.355000,297950
2016-01-19T00:00:00Z,415,7.400000,7.350000,7.461100,7.350000,207981
2016-01-20T00:00:00Z,416,7.340000,7.280000,7.350000,7.236500,89024
2016-01-21T00:00:00Z,417,7.320000,7.310000,7.375000,7.270100,133325
2016-01-22T00:00:00Z,418,7.360000,7.370000,7.420000,7.340000,104935
2016-01-25T00:00:00Z,421,7.360000,7.330000,7.405000,7.310000,124480
2016-01-26T00:00:00Z,422,7.330000,7.370000,7.370000,7.280000,522460
2016-01-27T00:00:00Z,423,7.370000,7.330000,7.400000,7.320000,156229
2016-01-28T00:00:00Z,424,7.370000,7.400000,7.400000,7.340000,129325
2016-01-29T00:00:00Z,425,7.400000,7.430000,7.430000,7.390000,92838
2016-02-01T00:00:00Z,428,7.440000,7.430000,7.450000,7.410000,81042
2016-02-02T00:00:00Z,429,7.420000,7.400000,7.460000,7.390000,164372
2016-02-03T00:00:00Z,430,7.420000,7.470000,7.530000,7.420000,169672
2016-02-04T00:00:00Z,431,7.470000,7.450000,7.480000,7.450000,47962
2016-02-05T00:00:00Z,432,7.460000,7.470000,7.490000,7.460000,100822
2016-02-08T00:00:00Z,435,7.500000,7.450000,7.500000,7.450000,132669
2016-02-09T00:00:00Z,436,7.450000,7.500000,7.500000,7.450000,81024
2016-02-10T00:00:00Z,437,7.500000,7.500000,7.510000,7.485000,84328
2016-02-11T00:00:00Z,438,7.520000,7.490000,7.530000,7.490000,128179
2016-02-12T00:00:00Z,439,7.490000,7.400000,7.500000,7.380000,208878
2016-02-16T00:00:00Z,443,7.428000,7.370000,7.450000,7.360000,139669
2016-02-17T00:00:00Z,444,7.390000,7.390000,7.410000,7.360000,97896
2016-02-18T00:00:00Z,445,7.440000,7.490000,7.490000,7.420000,231390
2016-02-19T00:00:00Z,446,7.480000,7.450000,7.490000,7.450000,146480
2016-02-22T00:00:00Z,449,7.440000,7.410000,7.440000,7.380000,146736
2016-02-23T00:00:00Z,450,7.410000,7.460000,7.460000,7.390000,160215
2016-02-24T00:00:00Z,451,7.460000,7.450000,7.460000,7.400000,163474
2016-02-25T00:00:00Z,452,7.450000,7.480000,7.490000,7.420000,133080
2016-02-26T00:00:00Z,453,7.450000,7.390000,7.460000,7.390000,152343
2016-02-29T00:00:00Z,456,7.430000,7.440000,7.450000,7.390000,214506
2016-03-01T00:00:00Z,459,7.440000,7.440000,7.510000,7.440000,174947
2016-03-02T00:00:00Z,460,7.470000,7.500000,7.500000,7.420000,131146
2016-03-03T00:00:00Z,461,7.490000,7.540000,7.540000,7.470000,204460
2016-03-04T00:00:00Z,462,7.540000,7.450000,7.550000,7.450000,251122
2016-03-07T00:00:00Z,465,7.460000,7.510000,7.520000,7.460000,86178
2016-03-08T00:00:00Z,466,7.490000,7.510000,7.530000,7.480000,88863
2016-03-09T00:00:00Z,467,7.500000,7.540000,7.540000,7.500000,72891
2016-03-10T00:00:00Z,468,7.510000,7.520000,7.550000,7.510000,56465
2016-03-11T00:00:00Z,469,7.540000,7.570000,7.610000,7.520000,235228
2016-03-14T00:00:00Z,472,7.570000,7.580000,7.580000,7.530000,79165
2016-03-15T00:00:00Z,473,7.550000,7.480000,7.570000,7.480000,153061
2016-03-16T00:00:00Z,474,7.510000,7.540000,7.540000,7.490000,65058
2016-03-17T00:00:00Z,475,7.560000,7.530000,7.580000,7.500000,115211
2016-03-18T00:00:00Z,476,7.550000,7.540000,7.560000,7.520000,84540
2016-03-21T00:00:00Z,479,7.560000,7.550000,7.570000,7.550000,69447
2016-03-22T00:00:00Z,480,7.540000,7.600000,7.619900,7.510000,186502
2016-03-23T00:00:00Z,481,7.580000,7.610000,7.610000,7.550000,208684
2016-03-24T00:00:00Z,482,7.600000,7.610000,7.610000,7.560100,106558
2016-03-28T00:00:00Z,486,7.600000,7.560000,7.600000,7.540000,92167
2016-03-29T00:00:00Z,487,7.580000,7.560000,7.580000,7.540000,101892
2016-03-30T00:00:00Z,488,7.580000,7.560000,7.590000,7.550000,132274
2016-03-31T00:00:00Z,489,7.590000,7.650000,7.650000,7.590000,242284
2016-04-01T00:00:00Z,490,7.660000,7.640000,7.670000,7.610000,124934
2016-04-04T00:00:00Z,493,7.650000,7.630000,7.650000,7.630000,68521
2016-04-05T00:00:00Z,494,7.630000,7.720000,7.720000,7.630000,97488
2016-04-06T00:00:00Z,495,7.700000,7.730000,7.730000,7.700000,177569
2016-04-07T00:00:00Z,496,7.740000,7.740000,7.750000,7.710100,146348
2016-04-08T00:00:00Z,497,7.740000,7.720000,7.748000,7.690000,92094
2016-04-11T00:00:00Z,500,7.710000,7.680000,7.720000,7.670000,128826
2016-04-12T00:00:00Z,501,7.680000,7.710000,7.720000,7.680000,95800
2016-04-13T00:00:00Z,502,7.720000,7.710000,7.740000,7.700000,80632
2016-04-14T00:00:00Z,503,7.700000,7.720000,7.750000,7.700000,173330
2016-04-15T00:00:00Z,504,7.740000,7.760000,7.760000,7.728000,72542
2016-04-18T00:00:00Z,507,7.770000,7.750000,7.770100,7.720000,155408
2016-04-19T00:00:00Z,508,7.740000,7.750000,7.760000,7.740000,116704
2016-04-20T00:00:00Z,509,7.740000,7.730000,7.750000,7.710000,156190
2016-04-21T00:00:00Z,510,7.730000,7.690000,7.750000,7.680000,162320
2016-04-22T00:00:00Z,511,7.720000,7.710000,7.740000,7.700000,68795
2016-04-25T00:00:00Z,514,7.720000,7.710000,7.730000,7.680000,91392
2016-04-26T00:00:00Z,515,7.700000,7.740000,7.740000,7.690000,129008
2016-04-27T00:00:00Z,516,7.740000,7.750000,7.777600,7.717600,169351
2016-04-28T00:00:00Z,517,7.760000,7.780000,7.780000,7.750000,115390
2016-04-29T00:00:00Z,518,7.750000,7.770000,7.780000,7.730000,122340
2016-05-02T00:00:00Z,522,7.770000,7.730000,7.780000,7.730000,115761
2016-05-03T00:00:00Z,523,7.750000,7.770000,7.790000,7.740000,89293
2016-05-04T00:00:00Z,524,7.770000,7.780000,7.790000,7.768800,112387
2016-05-05T00:00:00Z,525,7.780000,7.830000,7.830000,7.780000,58925
2016-05-06T00:00:00Z,526,7.810000,7.830000,7.830000,7.806500,94536
2016-05-09T00:00:00Z,529,7.830000,7.890000,7.890000,7.830000,90900
2016-05-10T00:00:00Z,530,7.890000,7.860000,7.900000,7.860000,159420
2016-05-11T00:00:00Z,531,7.880000,7.930000,7.930000,7.870000,169835
2016-05-12T00:00:00Z,532,7.920000,7.880000,7.960000,7.880000,171692
2016-05-13T00:00:00Z,533,7.930000,7.930000,7.980000,7.910000,167691
2016-05-16T00:00:00Z,536,7.910000,7.910000,7.970000,7.910000,104192
2016-05-17T00:00:00Z,537,7.940000,7.930000,7.965000,7.890000,139988
2016-05-18T00:00:00Z,538,7.930000,7.860000,7.960000,7.860000,274613
2016-05-19T00:00:00Z,539,7.860000,7.680000,7.880000,7.680000,381767
2016-05-20T00:00:00Z,540,7.720000,7.710000,7.760000,7.670000,166519
2016-05-23T00:00:00Z,543,7.740000,7.720000,7.800000,7.720000,132648
2016-05-24T00:00:00Z,544,7.780000,7.800000,7.800000,7.750000,66831
2016-05-25T00:00:00Z,545,7.820000,7.800000,7.820000,7.770000,150769
2016-05-26T00:00:00Z,546,7.810000,7.880000,7.880000,7.800000,120681
2016-05-27T00:00:00Z,547,7.890000,7.790000,7.890000,7.790000,184678
2016-05-31T00:00:00Z,551,7.810000,7.730000,7.810000,7.710000,163066
2016-06-01T00:00:00Z,552,7.780000,7.790000,7.850000,7.750000,173777
2016-06-02T00:00:00Z,553,7.840000,7.940000,7.940000,7.810000,273617
2016-06-03T00:00:00Z,554,7.970000,7.950000,8.020000,7.900000,152475
2016-06-06T00:00:00Z,557,7.950000,7.970000,8.000000,7.950000,82998
2016-06-07T00:00:00Z,558,7.980000,7.960000,8.000000,7.940000,79477
2016-06-08T00:00:00Z,559,7.930000,7.990000,7.990000,7.920000,69974
2016-06-09T00:00:00Z,560,7.970000,7.910000,8.000000,7.910000,139669
2016-06-10T00:00:00Z,561,7.950000,7.980000,8.000000,7.938300,100602
2016-06-13T00:00:00Z,564,7.980000,8.000000,8.020000,7.980000,106746
2016-06-14T00:00:00Z,565,7.990000,7.970000,8.040000,7.970000,96822
2016-06-15T00:00:00Z,566,8.010000,7.959900,8.020000,7.940000,91776
2016-06-16T00:00:00Z,567,7.990000,7.970000,8.050000,7.960000,88408
2016-06-17T00:00:00Z,568,8.000000,7.980000,8.020000,7.960000,75453
2016-06-20T00:00:00Z,571,7.990000,7.950000,8.008600,7.940000,95547
2016-06-21T00:00:00Z,572,7.940000,8.060000,8.060000,7.940000,112815
2016-06-22T00:00:00Z,573,8.020000,8.020000,8.040000,7.980000,134694
2016-06-23T00:00:00Z,574,8.040000,7.990000,8.050000,7.990000,143888
2016-06-24T00:00:00Z,575,8.050000,8.040000,8.110000,7.980000,175806
2016-06-27T00:00:00Z,578,8.080000,8.050000,8.090000,8.000000,187849
2016-06-28T00:00:00Z,579,8.070000,8.020000,8.080000,8.020000,120078
2016-06-29T00:00:00Z,580,8.020000,8.020000,8.060000,8.020000,172057
2016-06-30T00:00:00Z,581,8.050000,8.040000,8.080000,8.010000,105491
2016-07-01T00:00:00Z,583,8.080000,8.090000,8.100000,8.060000,106256
2016-07-05T00:00:00Z,587,8.110000,8.070000,8.110000,8.070000,100886
2016-07-06T00:00:00Z,588,8.100000,8.050000,8.110000,8.040000,167755
2016-07-07T00:00:00Z,589,8.070000,8.080000,8.120000,8.070000,224622
2016-07-08T00:00:00Z,590,8.120000,8.080000,8.150000,8.080000,103431
2016-07-11T00:00:00Z,593,8.120000,8.090000,8.140000,8.060000,114088
2016-07-12T00:00:00Z,594,8.080000,7.980000,8.110000,7.970000,173041
2016-07-13T00:00:00Z,595,7.960000,7.800000,7.999900,7.800000,887142
2016-07-14T00:00:00Z,596,7.800000,7.600000,7.810000,7.600000,689531
2016-07-15T00:00:00Z,597,7.640000,7.800000,7.800000,7.640000,214155
2016-07-18T00:00:00Z,600,7.840000,7.910000,7.930000,7.840000,175841
2016-07-19T00:00:00Z,601,7.920000,7.950000,7.950000,7.750000,190463
2016-07-20T00:00:00Z,602,7.920000,7.940000,7.950000,7.900000,96371
2016-07-21T00:00:00Z,603,7.930000,7.960000,7.960000,7.920000,104806
2016-07-22T00:00:00Z,604,7.930000,7.950000,8.000000,7.920000,158751
2016-07-25T00:00:00Z,607,7.940000,7.890000,7.980000,7.880000,89902
2016-07-26T00:00:00Z,608,7.930000,7.980000,7.980000,7.920000,150867
2016-07-27T00:00:00Z,609,8.000000,8.000000,8.000000,7.980000,66205
2016-07-28T00:00:00Z,610,8.000000,7.980000,8.000000,7.950000,76308
2016-07-29T00:00:00Z,611,7.990000,8.000000,8.020000,7.990000,97686
2016-08-01T00:00:00Z,614,8.010000,7.940000,8.010000,7.920000,138217
2016-08-02T00:00:00Z,615,7.930000,7.890000,7.940000,7.870000,156955
2016-08-03T00:00:00Z,616,7.890000,7.990000,7.990000,7.890000,146111
2016-08-04T00:00:00Z,617,8.000000,7.990000,8.010000,7.960000,88775
2016-08-05T00:00:00Z,618,8.000000,7.950000,8.010000,7.950000,104974
2016-08-08T00:00:00Z,621,7.970000,7.970000,7.990000,7.940000,78324
