Date,Days,Open,Close,High,Low,Volume
2016-01-07T00:00:00Z,403,7.450000,7.540000,8.150000,7.300000,17727561
2016-01-08T00:00:00Z,404,7.690000,7.770000,8.020000,7.310000,20574346
2016-01-11T00:00:00Z,407,7.880000,7.280000,7.880000,6.900000,17334618
2016-01-12T00:00:00Z,408,7.480000,6.570000,7.490000,6.240000,27022852
2016-01-13T00:00:00Z,409,6.720000,6.000000,6.900000,5.902500,17032330
2016-01-14T00:00:00Z,410,6.110000,6.750000,6.800000,5.800000,19816729
2016-01-15T00:00:00Z,411,6.020000,5.720000,6.300000,5.590000,23292037
2016-01-19T00:00:00Z,415,5.670000,4.720000,5.900000,4.550000,22792914
2016-01-20T00:00:00Z,416,4.340000,5.020000,5.170000,4.010000,28018315
2016-01-21T00:00:00Z,417,4.940000,5.880000,6.170000,4.910000,27320354
2016-01-22T00:00:00Z,418,6.750000,6.620000,7.330000,6.495000,30963542
2016-01-25T00:00:00Z,421,6.300000,6.130000,6.700000,6.100000,24053930
2016-01-26T00:00:00Z,422,6.330000,6.870000,6.890000,5.960000,19058003
2016-01-27T00:00:00Z,423,6.580000,7.070000,8.030000,6.570000,27512005
2016-01-28T00:00:00Z,424,8.070000,6.800000,8.250000,6.530000,32546492
2016-01-29T00:00:00Z,425,6.880000,7.350000,7.470000,6.600000,21226791
2016-02-01T00:00:00Z,428,7.040000,6.660000,7.140000,6.510000,16196187
2016-02-02T00:00:00Z,429,6.330000,6.010000,6.350000,5.790000,15442458
2016-02-03T00:00:00Z,430,6.230000,6.700000,6.760000,5.850000,17641032
2016-02-04T00:00:00Z,431,6.750000,7.160000,7.480000,6.750000,22361349
2016-02-05T00:00:00Z,432,6.930000,6.580000,6.960000,6.440000,21532745
2016-02-08T00:00:00Z,435,6.160000,6.190000,6.230000,5.630000,17059253
2016-02-09T00:00:00Z,436,5.870000,5.660000,6.180000,5.300000,17961943
2016-02-10T00:00:00Z,437,5.670000,5.340000,6.060000,5.280000,16913114
2016-02-11T00:00:00Z,438,5.120000,4.910000,5.210000,4.630000,25832704
2016-02-12T00:00:00Z,439,5.115000,4.500000,5.150000,4.150000,39835525
2016-02-16T00:00:00Z,443,4.550000,4.760000,4.770000,4.320000,19405116
2016-02-17T00:00:00Z,444,4.920000,5.370000,5.565000,4.730000,21757933
2016-02-18T00:00:00Z,445,5.670000,4.730000,5.670000,4.720000,17041063
2016-02-19T00:00:00Z,446,4.520000,4.320000,4.570000,4.200000,18766842
2016-02-22T00:00:00Z,449,4.590000,4.620000,4.730000,4.330000,19721230
2016-02-23T00:00:00Z,450,4.510000,3.940000,4.510000,3.820000,23502318
2016-02-24T00:00:00Z,451,3.710000,3.720000,4.080000,3.610000,26658354
2016-02-25T00:00:00Z,452,3.945000,3.530000,4.050000,3.350000,34093096
2016-02-26T00:00:00Z,453,3.850000,3.880000,4.140000,3.700000,34946880
2016-02-29T00:00:00Z,456,4.060000,4.010000,4.350000,3.850000,41328925
2016-03-01T00:00:00Z,459,4.120000,4.350000,4.445000,3.940000,31198877
2016-03-02T00:00:00Z,460,4.300000,5.200000,5.260000,4.200000,41509874
2016-03-03T00:00:00Z,461,5.180000,6.310000,6.640000,5.090000,58116718
2016-03-04T00:00:00Z,462,6.600000,7.090000,8.090000,6.030000,75603351
2016-03-07T00:00:00Z,465,7.370000,8.160000,8.486400,7.280000,64438863
2016-03-08T00:00:00Z,466,7.980000,6.930000,8.080000,6.770000,46180653
2016-03-09T00:00:00Z,467,7.360000,7.830000,7.900000,7.145000,33529879
2016-03-10T00:00:00Z,468,7.600000,8.030000,8.110000,7.150000,38540861
